# hist bins, signal, signal 2x2 cl, signal 3x3 cl
-2.700000000000000000e+01,1.735737800000000000e+07,4.493190000000000000e+05,8.979500000000000000e+04
-2.600000000000000000e+01,1.752362500000000000e+07,4.511960000000000000e+05,8.980200000000000000e+04
-2.500000000000000000e+01,1.765738000000000000e+07,4.540330000000000000e+05,9.010000000000000000e+04
-2.400000000000000000e+01,1.780420800000000000e+07,4.578200000000000000e+05,9.079000000000000000e+04
-2.300000000000000000e+01,1.792389800000000000e+07,4.610300000000000000e+05,9.081100000000000000e+04
-2.200000000000000000e+01,1.803362900000000000e+07,4.628900000000000000e+05,9.091200000000000000e+04
-2.100000000000000000e+01,1.814379400000000000e+07,4.664190000000000000e+05,9.108100000000000000e+04
-2.000000000000000000e+01,1.823219300000000000e+07,4.698910000000000000e+05,9.105300000000000000e+04
-1.900000000000000000e+01,1.831438100000000000e+07,4.728390000000000000e+05,9.210800000000000000e+04
-1.800000000000000000e+01,1.837216600000000000e+07,4.761620000000000000e+05,9.135900000000000000e+04
-1.700000000000000000e+01,1.841295000000000000e+07,4.787180000000000000e+05,9.182700000000000000e+04
-1.600000000000000000e+01,1.844572200000000000e+07,4.822270000000000000e+05,9.260900000000000000e+04
-1.500000000000000000e+01,1.845223300000000000e+07,4.843120000000000000e+05,9.249100000000000000e+04
-1.400000000000000000e+01,1.845970900000000000e+07,4.864690000000000000e+05,9.268700000000000000e+04
-1.300000000000000000e+01,1.845232500000000000e+07,4.900950000000000000e+05,9.259500000000000000e+04
-1.200000000000000000e+01,1.840345800000000000e+07,4.910520000000000000e+05,9.266400000000000000e+04
-1.100000000000000000e+01,1.834168500000000000e+07,4.947100000000000000e+05,9.353900000000000000e+04
-1.000000000000000000e+01,1.827441900000000000e+07,4.975250000000000000e+05,9.309600000000000000e+04
-9.000000000000000000e+00,1.817306700000000000e+07,5.011130000000000000e+05,9.404400000000000000e+04
-8.000000000000000000e+00,1.804965100000000000e+07,5.017330000000000000e+05,9.351700000000000000e+04
-7.000000000000000000e+00,1.792419700000000000e+07,5.055390000000000000e+05,9.425000000000000000e+04
-6.000000000000000000e+00,1.775310300000000000e+07,5.079850000000000000e+05,9.438900000000000000e+04
-5.000000000000000000e+00,1.758643300000000000e+07,5.114550000000000000e+05,9.438300000000000000e+04
-4.000000000000000000e+00,1.737708500000000000e+07,5.128910000000000000e+05,9.455200000000000000e+04
-3.000000000000000000e+00,1.715851600000000000e+07,5.165310000000000000e+05,9.522400000000000000e+04
-2.000000000000000000e+00,1.691298500000000000e+07,5.194010000000000000e+05,9.516700000000000000e+04
-1.000000000000000000e+00,1.665070000000000000e+07,5.205860000000000000e+05,9.446100000000000000e+04
0.000000000000000000e+00,1.636934200000000000e+07,1.450352293000000000e+09,1.519185597000000000e+09
1.000000000000000000e+00,1.606063300000000000e+07,5.271420000000000000e+05,9.572500000000000000e+04
2.000000000000000000e+00,1.574810400000000000e+07,5.312890000000000000e+05,9.643100000000000000e+04
3.000000000000000000e+00,1.541406100000000000e+07,5.326680000000000000e+05,9.622300000000000000e+04
4.000000000000000000e+00,1.506150000000000000e+07,5.339550000000000000e+05,9.656600000000000000e+04
5.000000000000000000e+00,1.469461200000000000e+07,5.363380000000000000e+05,9.640200000000000000e+04
6.000000000000000000e+00,1.431598500000000000e+07,5.387800000000000000e+05,9.705900000000000000e+04
7.000000000000000000e+00,1.392203100000000000e+07,5.401190000000000000e+05,9.724500000000000000e+04
8.000000000000000000e+00,1.352243100000000000e+07,5.404350000000000000e+05,9.694700000000000000e+04
9.000000000000000000e+00,1.309864000000000000e+07,5.432540000000000000e+05,9.700800000000000000e+04
1.000000000000000000e+01,1.268266100000000000e+07,5.449430000000000000e+05,9.768000000000000000e+04
1.100000000000000000e+01,1.225259900000000000e+07,5.449820000000000000e+05,9.806100000000000000e+04
1.200000000000000000e+01,1.181808800000000000e+07,5.462590000000000000e+05,9.738700000000000000e+04
1.300000000000000000e+01,1.137881700000000000e+07,5.480350000000000000e+05,9.863400000000000000e+04
1.400000000000000000e+01,1.093925200000000000e+07,5.488300000000000000e+05,9.856700000000000000e+04
1.500000000000000000e+01,1.050103500000000000e+07,5.507580000000000000e+05,9.839400000000000000e+04
1.600000000000000000e+01,1.006066400000000000e+07,5.502590000000000000e+05,9.845500000000000000e+04
1.700000000000000000e+01,9.615875000000000000e+06,5.499860000000000000e+05,9.855200000000000000e+04
1.800000000000000000e+01,9.180010000000000000e+06,5.503850000000000000e+05,9.920500000000000000e+04
1.900000000000000000e+01,8.755955000000000000e+06,5.520370000000000000e+05,9.891800000000000000e+04
2.000000000000000000e+01,8.322351000000000000e+06,5.524370000000000000e+05,9.869600000000000000e+04
2.100000000000000000e+01,7.909479000000000000e+06,5.541310000000000000e+05,9.889300000000000000e+04
2.200000000000000000e+01,7.500918000000000000e+06,5.522850000000000000e+05,9.932500000000000000e+04
2.300000000000000000e+01,7.096829000000000000e+06,5.524310000000000000e+05,9.960100000000000000e+04
2.400000000000000000e+01,6.701121000000000000e+06,5.524050000000000000e+05,9.974600000000000000e+04
2.500000000000000000e+01,6.327909000000000000e+06,5.511280000000000000e+05,9.985400000000000000e+04
2.600000000000000000e+01,5.956720000000000000e+06,5.516350000000000000e+05,9.998400000000000000e+04
2.700000000000000000e+01,5.600888000000000000e+06,5.505720000000000000e+05,1.005520000000000000e+05
2.800000000000000000e+01,5.263740000000000000e+06,5.496720000000000000e+05,1.007750000000000000e+05
2.900000000000000000e+01,4.924761000000000000e+06,5.494020000000000000e+05,1.001280000000000000e+05
3.000000000000000000e+01,4.614193000000000000e+06,5.471700000000000000e+05,9.994700000000000000e+04
3.100000000000000000e+01,4.308271000000000000e+06,5.458260000000000000e+05,1.006620000000000000e+05
3.200000000000000000e+01,4.018276000000000000e+06,5.450460000000000000e+05,1.006900000000000000e+05
3.300000000000000000e+01,3.737409000000000000e+06,5.440980000000000000e+05,1.006120000000000000e+05
3.400000000000000000e+01,3.475548000000000000e+06,5.414110000000000000e+05,1.007660000000000000e+05
3.500000000000000000e+01,3.225494000000000000e+06,5.384010000000000000e+05,1.005500000000000000e+05
3.600000000000000000e+01,2.995037000000000000e+06,5.350000000000000000e+05,1.009100000000000000e+05
3.700000000000000000e+01,2.768769000000000000e+06,5.348250000000000000e+05,1.005900000000000000e+05
3.800000000000000000e+01,2.559185000000000000e+06,5.306430000000000000e+05,1.010090000000000000e+05
3.900000000000000000e+01,2.366429000000000000e+06,5.296150000000000000e+05,1.009280000000000000e+05
4.000000000000000000e+01,2.179898000000000000e+06,5.247900000000000000e+05,1.015170000000000000e+05
4.100000000000000000e+01,2.008844000000000000e+06,5.232460000000000000e+05,1.010840000000000000e+05
4.200000000000000000e+01,1.846095000000000000e+06,5.198630000000000000e+05,1.008470000000000000e+05
4.300000000000000000e+01,1.699439000000000000e+06,5.167210000000000000e+05,1.013560000000000000e+05
4.400000000000000000e+01,1.556274000000000000e+06,5.128600000000000000e+05,1.009780000000000000e+05
4.500000000000000000e+01,1.427595000000000000e+06,5.087970000000000000e+05,1.006530000000000000e+05
4.600000000000000000e+01,1.310528000000000000e+06,5.063760000000000000e+05,1.013230000000000000e+05
4.700000000000000000e+01,1.199572000000000000e+06,5.012590000000000000e+05,1.008650000000000000e+05
4.800000000000000000e+01,1.096747000000000000e+06,4.960580000000000000e+05,1.012920000000000000e+05
4.900000000000000000e+01,1.002822000000000000e+06,4.913240000000000000e+05,1.010540000000000000e+05
5.000000000000000000e+01,9.160040000000000000e+05,4.876280000000000000e+05,1.015210000000000000e+05
5.100000000000000000e+01,8.353910000000000000e+05,4.824490000000000000e+05,1.008190000000000000e+05
5.200000000000000000e+01,7.617070000000000000e+05,4.778110000000000000e+05,1.003690000000000000e+05
5.300000000000000000e+01,6.951530000000000000e+05,4.717520000000000000e+05,1.009430000000000000e+05
5.400000000000000000e+01,6.352930000000000000e+05,4.665920000000000000e+05,1.006130000000000000e+05
5.500000000000000000e+01,5.806140000000000000e+05,4.635020000000000000e+05,1.001170000000000000e+05
5.600000000000000000e+01,5.285690000000000000e+05,4.560670000000000000e+05,1.006980000000000000e+05
5.700000000000000000e+01,4.824900000000000000e+05,4.529410000000000000e+05,9.991300000000000000e+04
5.800000000000000000e+01,4.399280000000000000e+05,4.465860000000000000e+05,1.000730000000000000e+05
5.900000000000000000e+01,4.010280000000000000e+05,4.399520000000000000e+05,1.001770000000000000e+05
6.000000000000000000e+01,3.672030000000000000e+05,4.354930000000000000e+05,1.003430000000000000e+05
6.100000000000000000e+01,3.353180000000000000e+05,4.284380000000000000e+05,9.965300000000000000e+04
6.200000000000000000e+01,3.063890000000000000e+05,4.225140000000000000e+05,9.951600000000000000e+04
6.300000000000000000e+01,2.810310000000000000e+05,4.155740000000000000e+05,1.000210000000000000e+05
6.400000000000000000e+01,2.579700000000000000e+05,4.108640000000000000e+05,9.942000000000000000e+04
6.500000000000000000e+01,2.353610000000000000e+05,4.056040000000000000e+05,9.965500000000000000e+04
6.600000000000000000e+01,2.156970000000000000e+05,3.970690000000000000e+05,9.911800000000000000e+04
6.700000000000000000e+01,1.981000000000000000e+05,3.928180000000000000e+05,9.858500000000000000e+04
6.800000000000000000e+01,1.816870000000000000e+05,3.849510000000000000e+05,9.837700000000000000e+04
6.900000000000000000e+01,1.674670000000000000e+05,3.783620000000000000e+05,9.786200000000000000e+04
7.000000000000000000e+01,1.546290000000000000e+05,3.710590000000000000e+05,9.804800000000000000e+04
7.100000000000000000e+01,1.429810000000000000e+05,3.654100000000000000e+05,9.804000000000000000e+04
7.200000000000000000e+01,1.315640000000000000e+05,3.587680000000000000e+05,9.747300000000000000e+04
7.300000000000000000e+01,1.229890000000000000e+05,3.527280000000000000e+05,9.718000000000000000e+04
7.400000000000000000e+01,1.135110000000000000e+05,3.466760000000000000e+05,9.669600000000000000e+04
7.500000000000000000e+01,1.062090000000000000e+05,3.384130000000000000e+05,9.671800000000000000e+04
7.600000000000000000e+01,9.911900000000000000e+04,3.322620000000000000e+05,9.620600000000000000e+04
7.700000000000000000e+01,9.246900000000000000e+04,3.243210000000000000e+05,9.596400000000000000e+04
7.800000000000000000e+01,8.655200000000000000e+04,3.169930000000000000e+05,9.597200000000000000e+04
7.900000000000000000e+01,8.090800000000000000e+04,3.116790000000000000e+05,9.546900000000000000e+04
8.000000000000000000e+01,7.652800000000000000e+04,3.045120000000000000e+05,9.487800000000000000e+04
