# number of Gd/Fe layers, transmission, polarisation
1.550000000000000000e+02,1.643922399355195185e-02,-9.810406651414427248e-01
1.560000000000000000e+02,1.608193828973500383e-02,-9.815957353841414657e-01
1.570000000000000000e+02,1.573254387283821304e-02,-9.821346983240218931e-01
1.580000000000000000e+02,1.539086752511162857e-02,-9.826580210248420100e-01
1.590000000000000000e+02,1.505672536117554430e-02,-9.831661413764601898e-01
1.600000000000000000e+02,1.472994718522258051e-02,-9.836594955073089119e-01
1.610000000000000000e+02,1.441036984188604798e-02,-9.841385103048276850e-01
1.620000000000000000e+02,1.409782235457781273e-02,-9.846035883330311878e-01
1.630000000000000000e+02,1.379214919200948651e-02,-9.850551331900151419e-01
1.640000000000000000e+02,1.349319609997610796e-02,-9.854935343739056330e-01
1.650000000000000000e+02,1.320080514463518179e-02,-9.859191629683562441e-01
1.660000000000000000e+02,1.291483322318267082e-02,-9.863323912543224825e-01
1.670000000000000000e+02,1.263513445702671607e-02,-9.867335745092937760e-01
1.680000000000000000e+02,1.236156368318739977e-02,-9.871230554249890154e-01
1.690000000000000000e+02,1.209398818261062797e-02,-9.875011762094479950e-01
1.700000000000000000e+02,1.183227035725251813e-02,-9.878682612296518784e-01
1.710000000000000000e+02,1.157627713311785815e-02,-9.882246271770640522e-01
1.720000000000000000e+02,1.132588448189971592e-02,-9.885705876217967258e-01
1.730000000000000000e+02,1.108096320491217847e-02,-9.889064392443681628e-01
1.740000000000000000e+02,1.084139130385622374e-02,-9.892324745688080290e-01
1.750000000000000000e+02,1.060705217726639997e-02,-9.895489802138379698e-01
1.760000000000000000e+02,1.037782516788252930e-02,-9.898562281330669510e-01
1.770000000000000000e+02,1.015359813618061172e-02,-9.901544881297090761e-01
1.780000000000000000e+02,9.934261071754567352e-03,-9.904440217873414776e-01
1.790000000000000000e+02,9.719701884135178993e-03,-9.907250789170699568e-01
1.800000000000000000e+02,9.509817015068828400e-03,-9.909979078316495382e-01
1.810000000000000000e+02,9.304502575167357403e-03,-9.912627471472967855e-01
1.820000000000000000e+02,9.103654870798642482e-03,-9.915198267012644839e-01
1.830000000000000000e+02,8.907177716659487460e-03,-9.917693744699896952e-01
1.840000000000000000e+02,8.714973139763592183e-03,-9.920116082163109583e-01
1.850000000000000000e+02,8.526945458872510486e-03,-9.922467395757047504e-01
1.860000000000000000e+02,8.343004819331910696e-03,-9.924749773614648385e-01
1.870000000000000000e+02,8.163059111694216663e-03,-9.926965205369361334e-01
1.880000000000000000e+02,7.987020097157043752e-03,-9.929115639725373255e-01
1.890000000000000000e+02,7.814803429813485525e-03,-9.931202985577516351e-01
1.900000000000000000e+02,7.646322856902085414e-03,-9.933229063624871014e-01
1.910000000000000000e+02,7.481496887036757221e-03,-9.935195666764377043e-01
1.920000000000000000e+02,7.320246093359167490e-03,-9.937104537755341305e-01
1.930000000000000000e+02,7.162490036315140654e-03,-9.938957345365387885e-01
1.940000000000000000e+02,7.008153225750669499e-03,-9.940755736864197445e-01
1.950000000000000000e+02,6.857160772703352856e-03,-9.942501302426217658e-01
1.960000000000000000e+02,6.709437919099323078e-03,-9.944195573583169967e-01
1.970000000000000000e+02,6.564914449940719050e-03,-9.945840061242248176e-01
1.980000000000000000e+02,6.423519793941927757e-03,-9.947436216558653843e-01
1.990000000000000000e+02,6.285184634901150834e-03,-9.948985446263288734e-01
2.000000000000000000e+02,6.149843383777051260e-03,-9.950489133799511610e-01
