#comment:								
#pole shoe:	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I [A]	H [mT]	hallErr	avgDiff	errDiff	avgSum	errSum	Norm	errNorm
1.40000	54.16486	0.56656	0.00007	0.00008	-0.00588	0.00006	0.02143	0.24166
1.50000	58.52094	0.41008	0.00018	0.00016	-0.00588	0.00006	0.01191	0.15456
1.60000	63.94550	0.93235	0.00016	0.00017	-0.00593	0.00002	-0.19310	0.12828
1.70000	68.10898	0.62904	0.00017	0.00008	-0.00582	0.00005	0.22920	0.18128
1.80000	72.99208	0.55098	0.00017	0.00015	-0.00587	0.00005	0.02541	0.15472
1.90000	77.86667	0.74535	0.00012	0.00009	-0.00586	0.00007	0.07861	0.26565
2.00000	82.39915	0.62962	0.00013	0.00007	-0.00588	0.00006	0.00186	0.20101
2.10000	87.21924	0.30651	0.00015	0.00007	-0.00583	0.00003	0.18248	0.07055
2.20000	91.72359	0.69247	0.00020	0.00004	-0.00579	0.00005	0.32883	0.12492
2.30000	96.54625	0.81517	-0.00012	0.00010	-0.00580	0.00005	0.29758	0.18490
2.40000	101.43275	0.40503	0.00013	0.00006	-0.00590	0.00004	-0.06046	0.17997
2.50000	105.55581	0.65707	0.00009	0.00013	-0.00588	0.00005	0.00152	0.21522
2.60000	109.71637	0.57632	0.00005	0.00012	-0.00591	0.00005	-0.10950	0.22515
2.70000	115.01811	0.60462	0.00006	0.00006	-0.00585	0.00003	0.13100	0.16340
2.80000	119.95147	0.52533	-0.00000	0.00008	-0.00586	0.00005	0.09626	0.22245
2.90000	124.88059	0.49377	0.00007	0.00011	-0.00584	0.00006	0.14982	0.26017
3.00000	128.68842	0.57320	0.00000	0.00007	-0.00583	0.00005	0.19725	0.11903
3.10000	133.45332	0.40290	0.00007	0.00010	-0.00590	0.00005	-0.06933	0.21029
3.20000	138.35451	0.66012	0.00008	0.00007	-0.00591	0.00004	-0.08748	0.18499
3.30000	142.09911	0.75364	0.00006	0.00006	-0.00585	0.00003	0.12997	0.13161
3.40000	147.15651	0.74735	-0.00008	0.00014	-0.00591	0.00003	-0.10387	0.11341
3.50000	151.68069	0.53490	0.00006	0.00008	-0.00583	0.00005	0.19140	0.15085
3.60000	156.96897	0.28699	0.00005	0.00010	-0.00591	0.00004	-0.09838	0.14229
3.70000	161.40131	0.31991	-0.00000	0.00016	-0.00585	0.00003	0.13347	0.11239
3.80000	166.06874	0.68462	0.00004	0.00014	-0.00591	0.00005	-0.09630	0.20787
3.90000	170.89001	0.55098	0.00022	0.00011	-0.00587	0.00007	0.03899	0.27179
4.00000	174.94743	0.61158	0.00014	0.00013	-0.00592	0.00002	-0.13887	0.06780
4.10000	180.10941	0.52987	-0.00009	0.00018	-0.00587	0.00004	0.06934	0.16974
4.20000	184.62825	0.29629	-0.00004	0.00008	-0.00598	0.00004	-0.34712	0.16695
4.30000	188.77399	0.54292	0.00001	0.00014	-0.00581	0.00005	0.26806	0.19521
4.40000	193.41172	0.31466	0.00001	0.00013	-0.00582	0.00005	0.22305	0.18820
4.50000	198.33295	0.78599	-0.00002	0.00007	-0.00589	0.00005	-0.00785	0.21359
4.60000	203.37299	0.34167	0.00017	0.00017	-0.00593	0.00003	-0.19819	0.11461
4.70000	208.24628	0.39595	0.00011	0.00008	-0.00582	0.00005	0.22937	0.18425
4.80000	211.95356	0.47129	0.00008	0.00007	-0.00585	0.00003	0.09577	0.07474
4.90000	216.32426	0.43443	0.00008	0.00010	-0.00585	0.00006	0.13076	0.23903
5.00000	221.28598	0.25485	0.00007	0.00005	-0.00588	0.00005	0.01477	0.16242
5.10000	225.37150	0.47363	0.00018	0.00015	-0.00590	0.00005	-0.06801	0.16584
5.20000	230.08535	0.73102	0.00009	0.00011	-0.00585	0.00005	0.12736	0.17305
5.30000	235.00152	0.22076	0.00000	0.00009	-0.00583	0.00006	0.18281	0.22286
5.40000	239.57300	0.40835	0.00007	0.00007	-0.00581	0.00006	0.26528	0.24366
5.50000	244.38188	0.31605	0.00003	0.00010	-0.00583	0.00004	0.18789	0.18127
5.60000	248.34296	0.37441	-0.00005	0.00011	-0.00584	0.00005	0.15268	0.19681
5.70000	252.99624	0.23461	-0.00004	0.00002	-0.00585	0.00005	0.10853	0.14884
5.80000	258.07594	0.59501	0.00006	0.00014	-0.00599	0.00005	-0.38207	0.17390
5.90000	261.44865	0.42506	0.00011	0.00011	-0.00587	0.00003	0.03491	0.10925
6.00000	266.95935	0.26124	0.00014	0.00009	-0.00582	0.00004	0.20739	0.17354
6.10000	271.23984	0.47388	0.00011	0.00008	-0.00590	0.00003	-0.08093	0.11821
6.20000	275.50502	0.28215	0.00017	0.00014	-0.00593	0.00002	-0.17279	0.12641
6.30000	280.28907	0.49471	0.00018	0.00017	-0.00584	0.00004	0.13205	0.21592
6.40000	284.83810	0.39083	0.00022	0.00015	-0.00585	0.00005	0.09859	0.12944
6.50000	289.94775	0.42231	0.00028	0.00017	-0.00587	0.00003	0.03238	0.13455
6.60000	293.47736	0.29093	0.00011	0.00009	-0.00586	0.00004	0.06297	0.18116
6.70000	298.79399	0.21187	0.00012	0.00013	-0.00595	0.00004	-0.25093	0.20728
6.80000	303.55257	0.21778	0.00012	0.00013	-0.00586	0.00008	0.07367	0.22394
6.90000	307.54421	0.08608	0.00010	0.00006	-0.00589	0.00003	-0.03800	0.15909
7.00000	312.72742	0.29431	0.00020	0.00009	-0.00587	0.00007	0.04896	0.22342
7.00000	313.33408	0.36062	0.00022	0.00012	-0.00582	0.00003	0.18302	0.05870
7.00000	313.23956	0.27695	0.00004	0.00006	-0.00595	0.00006	-0.22718	0.19369
6.90000	309.00810	0.18972	0.00015	0.00011	-0.00603	0.00004	-0.51885	0.17735
6.80000	305.75059	0.57017	0.00027	0.00013	-0.00593	0.00003	-0.18208	0.11032
6.70000	303.36575	0.25107	0.00019	0.00016	-0.00578	0.00006	0.36824	0.24525
6.60000	298.93027	0.63035	0.00021	0.00012	-0.00592	0.00003	-0.16295	0.07049
6.50000	295.18727	0.32647	0.00012	0.00009	-0.00585	0.00006	0.10945	0.28063
6.40000	291.60488	0.30773	0.00025	0.00014	-0.00586	0.00003	0.06191	0.14125
6.30000	287.33465	0.47447	0.00032	0.00012	-0.00585	0.00007	0.09541	0.23386
6.20000	283.86013	0.28844	0.00021	0.00004	-0.00578	0.00009	0.34770	0.38386
6.10000	279.43419	0.39286	0.00034	0.00014	-0.00591	0.00007	-0.12334	0.27367
6.00000	275.89400	0.65343	0.00013	0.00006	-0.00585	0.00004	0.10342	0.21112
5.90000	271.75619	0.29166	0.00025	0.00006	-0.00590	0.00002	-0.09826	0.11609
5.80000	268.10635	0.40685	0.00025	0.00008	-0.00598	0.00003	-0.37804	0.10665
5.70000	264.07651	0.32728	0.00013	0.00012	-0.00583	0.00005	0.16346	0.13590
5.60000	259.23604	0.27151	0.00028	0.00014	-0.00587	0.00004	0.03170	0.12530
5.50000	255.57120	0.35633	0.00014	0.00013	-0.00589	0.00002	-0.06081	0.12025
5.40000	252.39423	0.26876	0.00016	0.00009	-0.00588	0.00004	-0.01569	0.09953
5.30000	247.71901	0.11406	0.00023	0.00007	-0.00589	0.00005	-0.06383	0.20642
5.20000	243.45921	0.28791	0.00029	0.00008	-0.00590	0.00006	-0.08025	0.23599
5.10000	239.12704	0.63557	0.00027	0.00011	-0.00587	0.00006	0.02095	0.21055
5.00000	235.60560	0.31143	0.00019	0.00011	-0.00589	0.00004	-0.03367	0.15819
4.90000	231.11996	0.30883	0.00030	0.00011	-0.00583	0.00007	0.15255	0.27936
4.80000	227.03651	0.64786	0.00030	0.00014	-0.00589	0.00004	-0.04381	0.20572
4.70000	223.56157	0.33025	0.00019	0.00008	-0.00581	0.00006	0.24788	0.17964
4.60000	218.15165	0.21075	-0.00001	0.00009	-0.00584	0.00008	0.16716	0.23160
4.50000	214.24652	0.26412	0.00007	0.00016	-0.00599	0.00007	-0.38323	0.25187
4.40000	209.83197	0.50156	-0.00044	0.00049	-0.00587	0.00003	0.08894	0.06846
4.30000	205.58446	0.27611	0.00011	0.00010	-0.00585	0.00004	0.10226	0.15828
4.20000	201.79396	0.39521	0.00018	0.00011	-0.00580	0.00002	0.26887	0.12288
4.10000	196.70568	0.39525	0.00013	0.00016	-0.00580	0.00004	0.26204	0.13064
4.00000	192.71339	0.23602	0.00005	0.00012	-0.00585	0.00005	0.10943	0.15528
3.90000	188.94089	0.58234	0.00012	0.00011	-0.00590	0.00006	-0.06909	0.24313
3.80000	183.53035	0.42544	0.00013	0.00009	-0.00586	0.00003	0.05444	0.12878
3.70000	179.39363	0.62633	0.00003	0.00007	-0.00582	0.00003	0.19419	0.16289
3.60000	174.96060	0.42595	0.00011	0.00007	-0.00586	0.00005	0.07476	0.18224
3.50000	170.84609	0.21383	0.00004	0.00006	-0.00596	0.00004	-0.28025	0.18329
3.40000	166.74929	0.28627	0.00003	0.00010	-0.00588	0.00005	-0.00582	0.22395
3.30000	161.79209	0.15240	0.00012	0.00008	-0.00593	0.00004	-0.18712	0.14203
3.20000	157.48046	0.65020	0.00013	0.00014	-0.00592	0.00003	-0.16150	0.14609
3.10000	153.21730	0.30882	0.00014	0.00011	-0.00585	0.00002	0.08011	0.07358
3.00000	148.92355	0.37594	0.00021	0.00013	-0.00586	0.00004	0.04860	0.19995
2.90000	144.00656	0.14350	0.00016	0.00012	-0.00578	0.00003	0.34321	0.16784
2.80000	140.25533	0.47663	0.00018	0.00010	-0.00594	0.00006	-0.21724	0.25298
2.70000	135.92037	0.21934	-0.00002	0.00010	-0.00589	0.00004	-0.04836	0.16294
2.60000	131.01927	0.41851	0.00011	0.00013	-0.00586	0.00003	0.06834	0.12984
2.50000	126.71316	0.31112	0.00020	0.00008	-0.00589	0.00005	-0.03691	0.17135
2.40000	121.85197	0.27067	0.00018	0.00018	-0.00587	0.00006	0.04039	0.23997
2.30000	117.46941	0.19000	0.00009	0.00018	-0.00580	0.00002	0.25858	0.04661
2.20000	113.13743	0.40599	0.00022	0.00010	-0.00586	0.00007	0.05230	0.28865
2.10000	109.15680	0.30155	0.00030	0.00010	-0.00580	0.00004	0.24404	0.19903
2.00000	104.10975	0.33239	0.00024	0.00016	-0.00583	0.00003	0.14465	0.08444
2.00000	103.18818	0.37708	0.00003	0.00011	-0.00583	0.00004	0.16343	0.16663
1.90000	99.87707	0.32510	0.00016	0.00013	-0.00584	0.00002	0.12028	0.10446
1.80000	95.15077	0.52652	0.00003	0.00011	-0.00591	0.00004	-0.09573	0.21799
1.70000	90.24261	0.51816	0.00001	0.00020	-0.00595	0.00005	-0.24885	0.19146
1.60000	86.42504	0.36442	0.00008	0.00016	-0.00587	0.00005	0.01619	0.18189
1.50000	81.26710	0.25991	0.00017	0.00013	-0.00579	0.00003	0.29634	0.11022
