#comment:								
#pole shoe :	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I	B	HallErr	avgDiff	errDiff	avgSum	errSum	avgR	errR
4.00000	175.30182	0.48258	0.05967	0.00123	0.07439	0.00008	0.38839	0.00953
4.10000	179.89513	0.42141	0.06021	0.00093	0.07445	0.00005	0.40879	0.01748
4.20000	184.24711	0.41028	0.06012	0.00129	0.07439	0.00007	0.39135	0.02082
4.30000	188.38847	0.53560	0.06108	0.00060	0.07443	0.00004	0.40862	0.01834
4.40000	193.77723	0.41049	0.06228	0.00059	0.07443	0.00004	0.41788	0.01584
4.50000	198.37568	0.27562	0.06118	0.00028	0.07449	0.00006	0.42837	0.02300
4.60000	202.67127	0.34637	0.06211	0.00053	0.07455	0.00004	0.45257	0.02056
4.70000	206.37836	0.38401	0.06280	0.00080	0.07441	0.00005	0.41648	0.02565
4.80000	212.35218	0.13726	0.06267	0.00120	0.07440	0.00003	0.41085	0.01690
4.90000	216.78220	0.33181	0.06348	0.00101	0.07449	0.00002	0.44497	0.00741
5.00000	220.74238	0.36496	0.06324	0.00077	0.07441	0.00005	0.41698	0.02125
5.10000	225.60763	0.64663	0.06377	0.00089	0.07447	0.00006	0.43971	0.01158
5.20000	230.31713	0.46322	0.06451	0.00051	0.07431	0.00004	0.39796	0.01706
5.30000	234.28435	0.28347	0.06351	0.00039	0.07446	0.00006	0.43430	0.01546
5.40000	239.65543	0.27270	0.06313	0.00081	0.07447	0.00004	0.43415	0.01555
5.50000	243.83605	0.13594	0.06443	0.00090	0.07442	0.00007	0.42847	0.01791
5.60000	247.85207	0.28819	0.06611	0.00123	0.07446	0.00007	0.45174	0.02701
5.70000	252.57783	0.41612	0.06500	0.00067	0.07439	0.00006	0.42393	0.02319
5.80000	257.54550	0.50503	0.06587	0.00141	0.07448	0.00003	0.45607	0.01586
5.90000	261.28290	0.63726	0.06497	0.00077	0.07442	0.00003	0.43209	0.00641
6.00000	266.69698	0.47455	0.06526	0.00090	0.07441	0.00002	0.43286	0.01906
6.10000	270.66761	0.13204	0.06652	0.00064	0.07445	0.00005	0.45201	0.00855
6.20000	275.54154	0.16764	0.06745	0.00072	0.07441	0.00005	0.44513	0.01765
6.30000	279.74979	0.26454	0.06587	0.00116	0.07445	0.00005	0.44880	0.02028
6.40000	283.72745	0.60525	0.06819	0.00121	0.07443	0.00005	0.45605	0.01104
6.50000	289.34475	0.47525	0.06765	0.00090	0.07440	0.00005	0.44399	0.01729
6.60000	293.02604	0.26197	0.06693	0.00070	0.07444	0.00004	0.45229	0.01963
6.70000	298.29211	0.22483	0.06731	0.00077	0.07449	0.00002	0.46801	0.00840
6.80000	302.44405	0.49415	0.06876	0.00092	0.07443	0.00004	0.46217	0.01187
6.90000	306.68185	0.80533	0.06883	0.00132	0.07438	0.00004	0.44709	0.02249
7.00000	311.58361	0.36908	0.06879	0.00101	0.07438	0.00002	0.44684	0.01667
7.00000	312.10239	0.47390	0.06854	0.00044	0.07436	0.00004	0.44030	0.01956
