# saved on 06.03.2022 by lrlunin
#  exported data from ptb bessy evaluation on 08102020
# fit exported with good x finess, check 5. Re-function fit.ipynb for source fit function and coefficients
#  photon energy [eV], fit response [ADU/photon],  fit -> quantum efficiency [%]
2.401770592763664354e+02,1.321584064409642434e-01,3.635119428967987024e-03
2.416166281755196223e+02,1.418545855569963154e-01,3.878573032159376901e-03
2.430561970746728093e+02,1.519923488854162119e-01,4.131145028567258931e-03
2.444957659738260247e+02,1.627310035460573512e-01,4.396978819126986029e-03
2.459353348729792117e+02,1.741000975443728338e-01,4.676635233764274598e-03
2.473749037721323987e+02,1.859500059273507533e-01,4.965877154567443531e-03
2.488144726712856141e+02,1.984440015967889881e-01,5.268873252362734315e-03
2.502540415704388010e+02,2.116563482342328217e-01,5.587346594834193166e-03
2.516936104695919880e+02,2.254736475125477813e-01,5.918055224100241159e-03
2.531331793687451750e+02,2.398962027646705797e-01,6.260798310226011257e-03
2.545727482678983904e+02,2.550992534081739649e-01,6.619919221503677530e-03
2.560123171670516058e+02,2.710084994089158594e-01,6.993224406888194286e-03
2.574518860662047928e+02,2.875104011863366393e-01,7.377562484223221251e-03
2.588914549653579797e+02,3.048694326635119078e-01,7.779498114652938327e-03
2.603310238645111667e+02,3.230132054276483866e-01,8.196902412175020511e-03
2.617705927636643537e+02,3.417630944694873274e-01,8.625012247358230730e-03
2.632101616628175407e+02,3.615964906330195738e-01,9.075633897496833413e-03
2.646497305619707276e+02,3.825509887593089298e-01,9.549338454147486208e-03
2.660892994611239146e+02,4.046854947113874834e-01,1.004721374354627939e-02
2.675288683602771016e+02,4.287187221610603838e-01,1.058661722093823948e-02
2.689684372594302886e+02,4.554460786022178076e-01,1.118641845218020653e-02
2.704080061585835324e+02,4.850889744657932434e-01,1.185106203145977130e-02
2.718475750577367194e+02,5.171154001185387372e-01,1.256658930186910217e-02
2.732871439568899063e+02,5.503497902353807758e-01,1.330377884683233390e-02
2.747267128560430933e+02,5.851435714790287346e-01,1.407074076799564623e-02
2.761662817551963371e+02,6.218743139839547629e-01,1.487604145106618224e-02
2.776058506543495241e+02,6.595683016418601996e-01,1.569591269393592545e-02
2.790454195535027111e+02,6.992565814831793736e-01,1.655453849824324933e-02
2.804849884526558981e+02,7.406827654718834975e-01,1.744528344776842196e-02
2.819245573518090850e+02,7.834203207848481343e-01,1.835766070053105464e-02
2.833641262509622720e+02,8.283844730176773696e-01,1.931267782474200764e-02
2.848036951501154590e+02,8.746413507759233097e-01,2.028802632189937588e-02
2.862432640492686460e+02,9.228408932458359581e-01,2.129839949690660525e-02
2.876828329484218330e+02,9.731817693018733895e-01,2.234783372609136509e-02
2.891224018475750768e+02,1.024689110964464911e+00,2.341347045249745837e-02
2.905619707467282637e+02,1.078730337673006412e+00,2.452615868682120337e-02
2.920015396458814507e+02,1.134163205790502227e+00,2.565936036421763086e-02
2.934411085450346377e+02,1.191687403191730832e+00,2.682852569155536396e-02
2.948806774441878247e+02,1.251477411334754652e+00,2.803703689370708185e-02
2.963202463433410117e+02,1.312578101099553196e+00,2.926302657867708643e-02
2.977598152424941986e+02,1.376549654688256741e+00,3.054085626340785967e-02
2.991993841416474424e+02,1.441644235509847105e+00,3.183118583315024119e-02
3.006389530408006294e+02,1.509373036869640528e+00,3.316704276732839601e-02
3.020785219399538164e+02,1.579088088162534431e+00,3.453360549191829970e-02
3.035180908391070034e+02,1.650631575870702861e+00,3.592700219211911877e-02
3.049576597382601904e+02,1.725037773489163762e+00,3.736925818005173289e-02
3.063972286374133773e+02,1.800397075116623835e+00,3.881851160581217819e-02
3.078367975365665643e+02,1.879085214888433164e+00,4.032564816159944082e-02
3.092763664357198081e+02,1.958777031694908244e+00,4.184019328162488782e-02
3.107159353348729951e+02,2.041440841739824652e+00,4.340389315355678429e-02
3.121555042340261821e+02,2.125886925239254488e+00,4.499088925954315699e-02
3.135950731331793691e+02,2.212560888341456700e+00,4.661024800090892567e-02
3.150346420323325560e+02,2.301821043157169733e+00,4.826903951084868249e-02
3.164742109314857430e+02,2.392532327622316934e+00,4.994303176944525635e-02
3.179137798306389300e+02,2.486643107137163966e+00,5.167250536307654851e-02
3.193533487297921170e+02,2.581420641529491800e+00,5.340017957292073070e-02
3.207929176289453608e+02,2.680149183438223393e+00,5.519371295451876852e-02
3.222324865280985478e+02,2.779278996141705260e+00,5.697944782984309953e-02
3.236720554272517347e+02,2.882222858769432072e+00,5.882714423048795993e-02
3.251116243264049217e+02,2.986136189982524503e+00,6.067817728612773936e-02
3.265511932255581087e+02,3.093317153877762404e+00,6.257899561229098018e-02
3.279907621247112957e+02,3.202005701507515845e+00,6.449349348998667519e-02
3.294303310238644826e+02,3.313442144056075733e+00,6.644636426023105280e-02
3.308698999230177265e+02,3.426899180793213873e+00,6.842258553433885893e-02
3.323094688221709134e+02,3.542621651007461292e+00,7.042672121204097968e-02
3.337490377213241004e+02,3.660832947737645782e+00,7.246283194184069409e-02
3.351886066204772874e+02,3.780856495415855889e+00,7.451717106787193734e-02
3.366281755196304744e+02,3.903767603265283714e+00,7.661060744680825429e-02
3.380677444187836613e+02,4.028106728303891160e+00,7.871412037308603282e-02
3.395073133179368483e+02,4.155676657927457107e+00,8.086266095770823503e-02
3.409468822170900921e+02,4.284338851473270537e+00,8.301422204486466616e-02
3.423864511162432791e+02,4.416488550410480052e+00,8.521498108736565158e-02
3.438260200153964661e+02,4.549491610639162076e+00,8.741370780780866045e-02
3.452655889145496531e+02,4.686160901986944793e+00,8.966424862586144795e-02
3.467051578137028400e+02,4.823532959666208875e+00,9.190949110137167088e-02
3.481447267128560270e+02,4.964652411748827099e+00,9.420727461428560212e-02
3.495842956120092140e+02,5.106411317160597818e+00,9.649821788047990845e-02
3.510238645111624010e+02,5.251887173473308579e+00,9.884032344779605794e-02
3.524634334103156448e+02,5.398059547128124080e+00,1.011763521502806323e-01
3.539030023094688318e+02,5.547806760266129622e+00,1.035601073680127021e-01
3.553425712086220187e+02,5.698412907158007634e+00,1.059405170161689114e-01
3.567821401077752057e+02,5.852320249364900029e+00,1.083628430413194205e-01
3.582217090069283927e+02,6.002907995398254926e+00,1.107044807313936341e-01
3.596612779060815797e+02,6.153451896192994930e+00,1.130265679419036329e-01
3.611008468052347666e+02,6.304159078686481621e+00,1.153331278326346632e-01
3.625404157043880105e+02,6.455914416390086785e+00,1.176404696447696796e-01
3.639799846035411974e+02,6.608600852429480810e+00,1.199464595120902227e-01
3.654195535026943844e+02,6.761553769881710529e+00,1.222390981012657224e-01
3.668591224018475714e+02,6.916955573655842571e+00,1.245578424828045622e-01
3.682986913010007584e+02,7.072900074291978534e+00,1.268681947897954132e-01
3.697382602001539453e+02,7.232166199755264202e+00,1.292199052240515234e-01
3.711778290993071323e+02,7.391286542523663350e+00,1.315507793485108656e-01
3.726173979984603761e+02,7.554645314102616638e+00,1.339387877855708064e-01
3.740569668976135631e+02,7.716791611968592868e+00,1.362870019702067947e-01
3.754965357967667501e+02,7.883827154486868771e+00,1.387032294871718696e-01
3.769361046959199371e+02,8.049217445173431074e+00,1.410721662116180553e-01
3.783756735950731240e+02,8.219043700666308183e+00,1.435005270121798848e-01
3.798152424942263110e+02,8.388411609650141543e+00,1.459025077765448986e-01
3.812548113933794980e+02,8.560930052241065624e+00,1.483409407985947226e-01
3.826943802925326850e+02,8.734331455769826391e+00,1.507762707740464836e-01
3.841339491916859288e+02,8.909435821616259688e+00,1.532226348037095121e-01
3.855735180908391158e+02,9.086920285565124544e+00,1.556915110608460551e-01
3.870130869899923027e+02,9.264479315899119882e+00,1.581432932440919314e-01
3.884526558891454897e+02,9.446089972126351597e+00,1.606458076329290441e-01
3.898922247882986767e+02,9.625954139454002245e+00,1.631002501810574212e-01
3.913317936874518637e+02,9.810698710819664825e+00,1.656190231046470451e-01
3.927713625866050506e+02,9.993804630803699851e+00,1.680917711727258068e-01
3.942109314857582945e+02,1.018072419945513474e+01,1.706103692067937050e-01
3.956505003849114814e+02,1.036800589766531822e+01,1.731166860226046600e-01
3.970900692840646684e+02,1.055698757564712231e+01,1.756331125610494648e-01
3.985296381832178554e+02,1.074850170797319215e+01,1.781733388438325461e-01
3.999692070823710424e+02,1.093940461999961400e+01,1.806851840932453268e-01
4.014087759815242293e+02,1.113517536283873000e+01,1.832591261140153471e-01
4.028483448806774163e+02,1.132792023355464828e+01,1.857650514216835635e-01
4.042879137798306601e+02,1.152544323853301123e+01,1.883312077530553130e-01
4.057274826789838471e+02,1.172248661874025188e+01,1.908713445460222258e-01
4.071670515781370341e+02,1.192164000744194219e+01,1.934277543965988166e-01
4.086066204772902211e+02,1.212305504338159601e+01,1.960027169688505766e-01
4.100461893764434080e+02,1.232373520456246219e+01,1.985477598800129695e-01
4.114857582755965950e+02,1.252922288303393294e+01,2.011521782647326673e-01
4.129253271747497820e+02,1.273167060558945352e+01,2.036898019888272460e-01
4.143648960739030258e+02,1.293848020787001474e+01,2.062793353386793704e-01
4.158044649730562128e+02,1.314538580299595161e+01,2.088524632129045711e-01
4.172440338722093998e+02,1.335339502597327765e+01,2.114253093782129667e-01
4.186836027713625867e+02,1.356483372818067323e+01,2.140345755030088615e-01
4.201231716705157737e+02,1.377394697336471729e+01,2.165893933059959697e-01
4.215627405696689607e+02,1.398776511772204501e+01,2.192004924038889746e-01
4.230023094688221477e+02,1.420010162988536528e+01,2.217706797724182666e-01
4.244418783679753346e+02,1.441482632436283673e+01,2.243606036963929906e-01
4.258814472671285785e+02,1.463182481894744846e+01,2.269682897423971335e-01
4.273210161662817654e+02,1.484737278525301996e+01,2.295359813854108977e-01
4.287605850654349524e+02,1.506757594349066842e+01,2.321581571704056934e-01
4.302001539645881394e+02,1.528537610861522644e+01,2.347258829664816693e-01
4.316397228637413264e+02,1.550620373051158474e+01,2.373228167294483548e-01
4.330792917628945133e+02,1.573077335280683364e+01,2.399595669500049766e-01
4.345188606620477003e+02,1.595818642169584933e+01,2.426220766266744544e-01
4.359584295612009441e+02,1.619040205614411931e+01,2.453397779104273535e-01
4.373979984603541311e+02,1.642314895479565351e+01,2.480476141077863350e-01
4.388375673595073181e+02,1.665981974618546957e+01,2.507967548984832984e-01
4.402771362586605051e+02,1.689951724728094717e+01,2.535733330999854207e-01
4.417167051578136920e+02,1.713950581967505826e+01,2.563361666103721181e-01
4.431562740569668790e+02,1.738445403007714773e+01,2.591549850238306085e-01
4.445958429561200660e+02,1.762821515333373767e+01,2.619379102351097610e-01
4.460354118552733098e+02,1.787475400535680947e+01,2.647440128948614357e-01
4.474749807544264968e+02,1.812456496270046102e+01,2.675803679943583036e-01
4.489145496535796838e+02,1.837089185575110051e+01,2.703472602559792159e-01
4.503541185527328707e+02,1.862211015725521790e+01,2.731682158256121262e-01
