delta_hel_plus,,delta_hel_minus,,beta_hel_plus,,beta_hel_minus,
X,Y,X,Y,X,Y,X,Y
711.1015219005196,0.0012427965552965527,717.1721108636476,0.0006661162911162886,,,743.4759358288769,0.0015758547008547022
723.4360306854738,0.002143227143227143,717.5587725810443,0.00042330354830354827,,,706.4077729798896,0.0094023696087036
720.4200692897798,0.0016980704480704482,717.8681019549616,0.00009955322455322199,,,706.482393741182,0.009883159305460295
719.9560752289037,0.0009696322196322167,718.7187577332343,0.00005908443408443251,,,707.2659117347525,0.00981607237102913
719.4920811680277,0.0002816627816627816,719.0280871071517,0.0002816627816627816,,,707.0793598315214,0.010587572116987546
,,719.1827517941103,0.0005042411292411272,,,707.19129097346,0.010296862067785824
,,719.6467458549864,0.0009089290339290325,,,706.631635263767,0.01036394900221699
,,720.1880722593418,0.0013945545195545202,,,706.2212210766586,0.0076022035348006275
,,720.961395694135,0.001799242424242422,,,706.295841837951,0.008373703280759044
,,722.5853749072012,0.0018801800051800044,,,706.295841837951,0.008630869862745184
,,723.5906953724325,0.001839711214711215,,,707.340532496045,0.009290558051318322
,,725.1373422420193,0.0016980704480704482,,,707.4151532573374,0.009033391469332184
,,726.21999505073,0.0016373672623672605,,,707.4524636379836,0.008541420616836961
,,727.6119772333581,0.0016373672623672605,,,707.713636302507,0.00753511660036946
,,729.3132887899035,0.0015968984718984676,,,707.8255674444456,0.006774798010149574
,,731.3239297203662,0.0015361952861952834,,,708.1986712509078,0.005544870878911517
,,733.566567681267,0.0015159608909608886,,,719.9887515351102,0.0033198208869444877
,,736.1958673595644,0.0015159608909608886,,,720.9215110512655,0.0028278500344492627
,,738.7478346943826,0.001526078088578086,,,722.4512366577601,0.002335879181954041
,,741.5317990596386,0.0014957264957264939,,,724.1675141674857,0.0020116256655367364
,,744.4704281118535,0.0015159608909608886,,,705.8854276508428,0.00476218997721457
